   Char  Aperence
0     0         1
1     @         1
2     h         1
3     5         1
4     T         1
5     3         1
6     8         2
7     4         2
8     f         2
9     j         3
10    y         3
11    ,         3
12    2         3
13    )         4
14    z         4
15    g         5
16    :         5
17    1         5
18    .         6
19    v         7
20    c         7
21    p         9
22    b         9
23    m        12
24    l        12
25    d        14
26    r        15
27    o        17
28    u        18
29    k        21
30    n        23
31    t        25
32    e        28
33   \n        29
34    s        34
35             47
36    -        50
37    a        51
38    i        67
